ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229826844,EUR,24391.29,NULL,NULL
2,229826845,EUR,-24391.29,NULL,NULL
2,229826846,EUR,326410.13,NULL,NULL
2,229826847,EUR,250365.57,NULL,NULL
2,229826848,EUR,671424.09,NULL,NULL
2,229826849,EUR,-6398.67,NULL,NULL
2,229826850,EUR,26826.18,NULL,NULL
2,229826851,EUR,5609.77,NULL,NULL
2,229826852,EUR,-735.08,NULL,NULL
2,229826853,EUR,-1005064.23,NULL,NULL
2,229826854,EUR,39639.61,NULL,NULL
2,229826855,EUR,-1651.55,NULL,NULL
2,229826856,EUR,3328.56,NULL,NULL
2,229826857,EUR,-3328.56,NULL,NULL
2,229826858,EUR,43451.14,NULL,NULL
2,229826859,EUR,305292.74,NULL,NULL
2,229826860,EUR,-23722.51,NULL,NULL
2,229826861,EUR,-50716.98,NULL,NULL
2,229826862,EUR,-609.53,NULL,NULL
2,229826863,EUR,-70889.6,NULL,NULL
2,229826864,EUR,18315.23,NULL,NULL
2,229826865,EUR,3353.82,NULL,NULL
2,229826866,EUR,5575.77,NULL,NULL
2,229826867,EUR,8110.87,NULL,NULL
2,229826868,EUR,46060.29,NULL,NULL
2,229826869,EUR,-241.49,NULL,NULL
2,229826870,EUR,-568.52,NULL,NULL
2,229826871,EUR,-372461.56,NULL,NULL
2,229826872,EUR,-2360.52,NULL,NULL
2,229826873,EUR,-1084102.21,NULL,NULL
2,229826874,EUR,-305292.74,NULL,NULL
2,229826875,EUR,181156.44,NULL,NULL
2,229826876,EUR,20153.42,NULL,NULL
2,229826877,EUR,62591.44,NULL,NULL
2,229826878,EUR,0,NULL,NULL
2,229826879,EUR,18468.25,NULL,NULL
2,229826880,EUR,28654.93,NULL,NULL
2,229826881,EUR,-216.13,NULL,NULL
2,229826882,EUR,3036.8,NULL,NULL
2,229826883,EUR,3794.42,NULL,NULL
2,229826884,EUR,-16200,NULL,NULL
2,229826885,EUR,-18500,NULL,NULL
2,229826886,EUR,-61358,NULL,NULL
2,229826887,EUR,-93860.09,NULL,NULL
2,229826888,EUR,-137429.26,NULL,NULL
2,229826889,EUR,110835.47,NULL,NULL
2,229826890,EUR,144932.77,NULL,NULL
2,229826891,EUR,94048.73,NULL,NULL
2,229826892,EUR,34013.36,NULL,NULL
2,229826893,EUR,39688.11,NULL,NULL
2,229826894,EUR,5631.28,NULL,NULL
2,229826895,EUR,94317,NULL,NULL
